layer,head,sq_diff
24,13,9.142578125
24,14,14.6669921875
24,15,11.501953125
24,16,11.279296875
24,17,12.884765625
24,18,7.459228515625
24,19,11.447265625
24,20,13.5029296875
24,21,13.244140625
24,22,12.42578125
24,23,8.685546875
24,24,13.3388671875
24,25,16.0419921875
24,26,14.7314453125
24,27,11.9345703125
24,28,12.1650390625
24,29,25.1123046875
24,30,19.0732421875
24,31,13.001953125
25,0,30.4111328125
25,1,19.658203125
25,2,18.1103515625
25,3,17.9873046875
25,4,14.623046875
25,5,14.728515625
25,6,18.501953125
25,7,22.16796875
25,8,18.8232421875
25,9,21.6220703125
25,10,20.5009765625
25,11,21.9921875
25,12,17.2119140625
25,13,21.9453125
25,14,24.2119140625
25,15,18.162109375
25,16,15.869140625
25,17,18.45703125
25,18,17.8662109375
25,19,30.423828125
25,20,22.84765625
25,21,16.4501953125
25,22,19.6181640625
25,23,15.14453125
25,24,15.986328125
25,25,18.251953125
25,26,16.662109375
25,27,19.28125
25,28,19.3056640625
25,29,19.3193359375
25,30,24.2802734375
25,31,19.19140625
26,0,22.501953125
26,1,26.359375
26,2,18.7939453125
26,3,23.2421875
26,4,22.39208984375
26,5,28.06640625
26,6,22.9765625
26,7,27.521484375
26,8,32.75
26,9,23.822265625
26,10,17.5263671875
26,11,29.5703125
26,12,33.107421875
26,13,22.74658203125
26,14,33.94287109375
26,15,24.8212890625
26,16,25.791015625
26,17,23.849609375
26,18,22.9736328125
26,19,16.8955078125
26,20,29.9658203125
26,21,24.0400390625
26,22,23.2412109375
26,23,30.162109375
26,24,29.1904296875
26,25,26.5166015625
26,26,24.9248046875
26,27,25.427734375
26,28,30.5341796875
26,29,22.267578125
26,30,32.1162109375
26,31,23.849609375
27,0,31.994140625
27,1,36.96875
27,2,27.7900390625
27,3,35.431640625
27,4,26.474609375
27,5,29.705078125
27,6,27.8544921875
27,7,33.8935546875
27,8,35.98828125
27,9,36.3583984375
27,10,28.841796875
27,11,37.05078125
27,12,26.33447265625
27,13,35.037109375
27,14,30.28515625
27,15,22.76953125
27,16,34.61865234375
27,17,31.89453125
27,18,35.6875
27,19,33.376953125
27,20,26.3984375
27,21,30.306640625
27,22,30.09765625
27,23,37.375
27,24,36.3046875
27,25,39.5703125
27,26,35.552734375
27,27,30.974609375
27,28,33.396484375
27,29,30.2880859375
27,30,31.1484375
27,31,30.220703125
28,0,40.076171875
28,1,46.59765625
28,2,40.5703125
28,3,35.267578125
28,4,54.763671875
28,5,47.861328125
28,6,33.294921875
28,7,60.4921875
28,8,58.65625
28,9,31.767578125
28,10,38.703125
28,11,32.90625
28,12,38.66015625
28,13,60.72265625
28,14,51.169921875
28,15,48.53515625
28,16,36.29296875
28,17,31.5859375
28,18,35.71484375
28,19,45.8046875
28,20,42.130859375
28,21,33.9375
28,22,56.54296875
28,23,34.64599609375
28,24,51.3125
28,25,41.91552734375
28,26,50.2978515625
28,27,36.7890625
28,28,47.591796875
28,29,47.9140625
28,30,44.736328125
28,31,47.4140625
29,0,58.09765625
29,1,48.16796875
29,2,44.828125
29,3,63.4609375
29,4,38.05078125
29,5,53.798828125
29,6,54.765625
29,7,64.24609375
29,8,53.6015625
29,9,68.64453125
29,10,62.212890625
29,11,61.91796875
29,12,49.296875
29,13,60.97265625
29,14,65.265625
29,15,45.890625
29,16,54.07421875
29,17,53.00390625
29,18,41.91015625
29,19,85.845703125
29,20,60.484375
29,21,52.5625
29,22,60.28515625
29,23,53.662109375
29,24,39.783203125
29,25,63.60546875
29,26,70.1953125
29,27,60.52734375
29,28,46.798828125
29,29,58.53515625
29,30,50.314453125
29,31,62.23046875
30,0,78.8984375
30,1,66.0234375
30,2,53.3603515625
30,3,72.87109375
30,4,59.68359375
30,5,80.99609375
30,6,82.8671875
30,7,59.30078125
30,8,83.25
30,9,85.07421875
30,10,58.259765625
30,11,67.609375
30,12,70.587890625
30,13,57.265625
30,14,68.99609375
30,15,70.1015625
30,16,75.5546875
30,17,77.3359375
30,18,84.13671875
30,19,84.3984375
30,20,79.8515625
30,21,73.25390625
30,22,80.7890625
30,23,71.734375
30,24,56.421875
30,25,70.640625
30,26,54.8017578125
30,27,74.5625
30,28,68.578125
30,29,78.15625
30,30,79.09375
30,31,74.27734375
31,0,52.85107421875
31,1,84.4453125
31,2,59.08203125
31,3,61.185546875
31,4,64.12890625
31,5,51.28515625
31,6,48.875
31,7,56.33203125
31,8,63.498046875
31,9,87.28125
31,10,43.046875
31,11,34.1767578125
31,12,71.65625
31,13,56.779296875
31,14,50.65625
31,15,56.66015625
31,16,77.859375
31,17,65.98046875
31,18,53.984375
31,19,86.73828125
31,20,67.3125
31,21,51.72265625
31,22,242.4375
31,23,74.26953125
31,24,55.48193359375
31,25,74.34765625
31,26,58.716796875
31,27,87.95703125
31,28,85.1640625
31,29,48.74609375
31,30,66.7578125
31,31,61.0244140625
